disease,window,burden_clause,t_alert,asymmetry_ratio,t_calm,gate,n_alert,n_calm,n_hold_watch,n_hold_monitor,n_hold_uncertainty
covid,October 1 - October 25,off,0.75,3.0,2.25,FAIL (counterfactual counts),11,0,1,11,28
covid,October 1 - October 25,off,1.0,1.0,1.0,FAIL (counterfactual counts),8,0,8,7,28
covid,October 1 - October 25,off,1.0,1.25,1.25,FAIL (counterfactual counts),8,0,5,10,28
covid,October 1 - October 25,off,1.0,1.5,1.5,FAIL (counterfactual counts),8,0,4,11,28
covid,October 1 - October 25,off,1.0,2.0,2.0,FAIL (counterfactual counts),8,0,2,13,28
covid,October 1 - October 25,off,1.0,3.0,3.0,FAIL (counterfactual counts),8,0,1,14,28
covid,October 1 - October 25,off,1.25,1.0,1.25,FAIL (counterfactual counts),8,0,5,10,28
covid,October 1 - October 25,off,1.25,1.25,1.5625,FAIL (counterfactual counts),8,0,4,11,28
covid,October 1 - October 25,off,1.25,1.5,1.875,FAIL (counterfactual counts),8,0,3,12,28
covid,October 1 - October 25,off,1.25,2.0,2.5,FAIL (counterfactual counts),8,0,1,14,28
covid,October 1 - October 25,off,1.25,3.0,3.75,FAIL (counterfactual counts),8,0,0,15,28
covid,October 1 - October 25,off,1.5,1.0,1.5,FAIL (counterfactual counts),7,0,4,12,28
covid,October 1 - October 25,off,1.5,1.25,1.875,FAIL (counterfactual counts),7,0,3,13,28
covid,October 1 - October 25,off,1.5,1.5,2.25,FAIL (counterfactual counts),7,0,1,15,28
covid,October 1 - October 25,off,1.5,2.0,3.0,FAIL (counterfactual counts),7,0,1,15,28
covid,October 1 - October 25,off,1.5,3.0,4.5,FAIL (counterfactual counts),7,0,0,16,28
covid,October 26 - November 29,off,0.25,1.0,0.25,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.25,1.25,0.3125,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.25,1.5,0.375,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.25,2.0,0.5,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.25,3.0,0.75,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.5,1.0,0.5,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.5,1.25,0.625,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.5,1.5,0.75,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.5,2.0,1.0,FAIL (counterfactual counts),14,0,10,2,25
covid,October 26 - November 29,off,0.5,3.0,1.5,FAIL (counterfactual counts),14,0,5,7,25
covid,October 26 - November 29,off,0.75,1.0,0.75,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.75,1.25,0.9375,FAIL (counterfactual counts),14,0,12,0,25
covid,October 26 - November 29,off,0.75,1.5,1.125,FAIL (counterfactual counts),14,0,9,3,25
covid,October 26 - November 29,off,0.75,2.0,1.5,FAIL (counterfactual counts),14,0,5,7,25
covid,October 26 - November 29,off,0.75,3.0,2.25,FAIL (counterfactual counts),14,0,3,9,25
covid,October 26 - November 29,off,1.0,1.0,1.0,FAIL (counterfactual counts),14,0,10,2,25
