state,worry,ci_low,ci_high,actual,vote,rank_worry,rank_actual,z_worry,z_actual,D_z,D_rank,worry_lo,worry_hi,excludes_zero
la,32.2,28.0,36.3,4.526,61.18,28.0,43.0,0.09655861528963908,0.9420757749957759,-0.8455171597061368,-15.0,11.0,43.0,False
mt,28.9,26.1,31.6,3.4979999999999998,60.29,14.0,24.0,-0.6151411045959735,-0.09655861528963908,-0.5185824893063344,-10.0,6.0,27.0,False
va,37.1,34.0,40.2,3.79,47.055,46.0,33.0,1.1983797023069245,0.34410246288301555,0.8542772394239089,13.0,36.0,48.0,True
ri,33.7,27.8,39.6,2.2560000000000002,42.92,38.0,2.0,0.6151411045959733,-1.7688250385187063,2.3839661431146797,36.0,12.0,48.0,True
sc,32.1,29.2,35.1,3.5260000000000007,59.06,26.5,25.0,0.0241045289806029,-0.04822307355592209,0.072327602536525,1.5,15.0,40.0,False
md,42.6,35.8,49.4,2.5479999999999996,35.245,49.0,8.5,1.5744449652170427,-0.9803303522249297,2.5547753174419725,40.5,42.0,51.0,True
wi,27.8,22.3,33.3,3.9840000000000004,50.435,10.0,34.0,-0.869423773288886,0.3957252958144873,-1.2651490691033733,-24.0,2.0,34.0,False
tx,29.4,27.0,31.9,4.06,56.94,16.0,36.0,-0.5024022233733555,0.5024022233733555,-1.004804446746711,-20.0,8.0,28.0,True
ia,28.1,22.7,33.4,5.5280000000000005,56.725,11.5,51.0,-0.7683021589798122,2.069901830895051,-2.8382039898748634,-39.5,2.0,35.0,True
ks,24.2,18.3,30.1,4.92,58.205,2.0,49.0,-1.7688250385187063,1.5744449652170427,-3.343270003735749,-47.0,1.0,19.02500000000009,True
de,32.9,29.7,36.1,4.014,42.519999999999996,33.0,35.0,0.34410246288301555,0.44842548330593485,-0.1043230204229193,-2.0,18.0,43.0,False
nc,33.3,28.1,38.4,4.534000000000001,51.63,36.0,44.0,0.5024022233733555,1.0200762327862014,-0.5176740094128459,-8.0,11.0,46.0,False
hi,38.6,34.7,42.5,3.308,38.22,48.0,18.0,1.4260768722728472,-0.3957252958144873,1.8218021680873344,30.0,39.0,50.0,True
ga,27.1,19.8,34.4,2.354,51.105,8.0,4.0,-1.0200762327862014,-1.4260768722728472,0.4060006394866458,4.0,1.0,38.0,False
mn,31.1,28.2,34.0,3.7739999999999996,47.83,24.5,32.0,-0.07236970645650208,0.29338123212119344,-0.36575093857769553,-7.5,12.0,37.0,False
wa,32.1,24.3,39.9,4.386,40.535,26.5,41.0,0.0241045289806029,0.80109452928195,-0.7769900003013471,-14.5,4.0,48.0,False
co,35.1,31.8,38.5,2.5479999999999996,44.355000000000004,41.0,8.5,0.80109452928195,-0.9803303522249297,1.7814248815068798,32.5,27.0,47.0,True
nj,36.2,32.7,39.6,2.7,46.985,44.0,11.0,1.0200762327862014,-0.80109452928195,1.8211707620681514,33.0,31.0,48.0,True
nh,35.6,32.5,38.6,4.1579999999999995,48.59,42.0,38.0,0.869423773288886,0.6151411045959733,0.2542826686929127,4.0,30.0,47.0,False
ct,43.0,38.1,47.9,2.322,42.62,50.0,3.0,1.7688250385187063,-1.5744449652170427,3.343270003735749,47.0,46.0,51.0,True
il,32.4,30.1,34.8,3.376,44.43,29.0,20.0,0.14512094121077412,-0.29338123212119327,0.4385021733319674,9.0,18.0,39.0,False
ok,25.8,20.9,30.8,3.4200000000000004,67.47,5.0,22.0,-1.3037826721034864,-0.19402814242392633,-1.1097545296795601,-17.0,2.0,22.0,False
tn,29.6,26.8,32.5,3.4379999999999997,65.06,19.0,23.0,-0.34410246288301566,-0.14512094121077412,-0.19898152167224153,-4.0,8.0,30.0,False
fl,36.1,30.4,41.9,4.404,56.61,43.0,42.0,0.9420757749957759,0.869423773288886,0.0726520017068899,1.0,21.0,49.0,False
dc,43.6,40.2,47.1,2.5520000000000005,6.685000000000002,51.0,10.0,2.069901830895051,-0.869423773288886,2.9393256041839373,41.0,48.0,51.0,True
wy,28.1,24.8,31.3,2.468,73.48,11.5,6.0,-0.7683021589798122,-1.1983797023069245,0.43007754332711223,5.5,4.0,25.0,False
in,30.5,27.3,33.7,3.2379999999999995,59.65,21.0,17.0,-0.24340417781063114,-0.4484254833059347,0.20502130549530354,4.0,9.0,36.0,False
ky,33.3,27.8,38.8,3.632,65.515,36.0,29.0,0.5024022233733555,0.14512094121077412,0.35728128216258137,7.0,11.0,47.0,False
or,30.7,27.8,33.7,4.804,42.565,22.0,47.0,-0.19402814242392633,1.3037826721034864,-1.4978108145274127,-25.0,11.0,35.0,True
ms,29.5,24.9,34.1,3.595999999999999,61.575,17.5,27.0,-0.42192888874856543,0.048223073555922244,-0.4701519623044877,-9.5,4.0,37.0,False
nm,38.2,31.9,44.4,3.6480000000000006,46.93,47.0,30.0,1.3037826721034864,0.1940281424239262,1.1097545296795603,17.0,28.0,51.0,False
