disease,state,window,epiweeks,burden_mean,burden_max,nweeks
covid,az,October 1 - October 25,202540-202543,0.5275000000000001,0.64,4
covid,ca,October 1 - October 25,202540-202543,0.49750000000000005,0.77,4
covid,co,October 1 - October 25,202540-202543,0.39749999999999996,0.51,4
covid,ct,October 1 - October 25,202540-202543,0.565,0.82,4
covid,dc,October 1 - October 25,202540-202543,0.22749999999999998,0.29,4
covid,de,October 1 - October 25,202540-202543,0.4575,0.59,4
covid,fl,October 1 - October 25,202540-202543,0.42250000000000004,0.6,4
covid,ga,October 1 - October 25,202540-202543,0.2775,0.31,4
covid,hi,October 1 - October 25,202540-202543,0.47,0.6,4
covid,ia,October 1 - October 25,202540-202543,0.42500000000000004,0.59,4
covid,id,October 1 - October 25,202540-202543,0.7050000000000001,0.79,4
covid,il,October 1 - October 25,202540-202543,0.34750000000000003,0.48,4
covid,in,October 1 - October 25,202540-202543,0.34,0.38,4
covid,ks,October 1 - October 25,202540-202543,0.295,0.44,4
covid,ky,October 1 - October 25,202540-202543,0.425,0.58,4
covid,la,October 1 - October 25,202540-202543,0.4125,0.55,4
covid,ma,October 1 - October 25,202540-202543,0.515,0.71,4
covid,md,October 1 - October 25,202540-202543,0.42000000000000004,0.65,4
covid,me,October 1 - October 25,202540-202543,0.47750000000000004,0.57,4
covid,mi,October 1 - October 25,202540-202543,0.3375,0.48,4
covid,mn,October 1 - October 25,202540-202543,0.3875,0.53,4
covid,mo,October 1 - October 25,202540-202543,0.36000000000000004,0.46,4
covid,ms,October 1 - October 25,202540-202543,0.6025,0.75,4
covid,mt,October 1 - October 25,202540-202543,0.65,0.79,4
covid,nc,October 1 - October 25,202540-202543,0.5275,0.8,4
covid,nd,October 1 - October 25,202540-202543,0.17,0.22,4
covid,ne,October 1 - October 25,202540-202543,0.17500000000000002,0.22,4
covid,nh,October 1 - October 25,202540-202543,0.5725,0.64,4
covid,nj,October 1 - October 25,202540-202543,0.43500000000000005,0.59,4
covid,nm,October 1 - October 25,202540-202543,0.5725,0.66,4
covid,nv,October 1 - October 25,202540-202543,0.39,0.52,4
covid,ny,October 1 - October 25,202540-202543,0.39,0.51,4
covid,oh,October 1 - October 25,202540-202543,0.27,0.32,4
covid,ok,October 1 - October 25,202540-202543,0.28,0.38,4
covid,or,October 1 - October 25,202540-202543,0.7975,1.04,4
covid,pa,October 1 - October 25,202540-202543,0.3325,0.42,4
covid,ri,October 1 - October 25,202540-202543,0.45,0.65,4
covid,sc,October 1 - October 25,202540-202543,0.45499999999999996,0.59,4
covid,sd,October 1 - October 25,202540-202543,0.36750000000000005,0.42,4
covid,tn,October 1 - October 25,202540-202543,0.4375,0.54,4
covid,tx,October 1 - October 25,202540-202543,0.41000000000000003,0.57,4
covid,ut,October 1 - October 25,202540-202543,0.3925,0.52,4
covid,va,October 1 - October 25,202540-202543,0.3875,0.49,4
covid,vt,October 1 - October 25,202540-202543,0.6275,0.76,4
covid,wa,October 1 - October 25,202540-202543,0.7325,1.09,4
covid,wi,October 1 - October 25,202540-202543,0.34500000000000003,0.5,4
covid,wv,October 1 - October 25,202540-202543,0.5225,0.57,4
covid,wy,October 1 - October 25,202540-202543,0.63,0.78,4
covid,ak,October 26 - November 29,202544-202548,0.33399999999999996,0.46,5
covid,al,October 26 - November 29,202544-202548,0.258,0.28,5
covid,ar,October 26 - November 29,202544-202548,0.45,0.52,5
covid,az,October 26 - November 29,202544-202548,0.526,0.59,5
covid,ca,October 26 - November 29,202544-202548,0.16399999999999998,0.24,5
covid,co,October 26 - November 29,202544-202548,0.392,0.54,5
covid,ct,October 26 - November 29,202544-202548,0.46799999999999997,0.67,5
covid,dc,October 26 - November 29,202544-202548,0.156,0.27,5
covid,de,October 26 - November 29,202544-202548,0.31399999999999995,0.37,5
covid,fl,October 26 - November 29,202544-202548,0.22999999999999998,0.25,5
covid,ga,October 26 - November 29,202544-202548,0.23199999999999998,0.26,5
covid,hi,October 26 - November 29,202544-202548,0.182,0.23,5
covid,ia,October 26 - November 29,202544-202548,0.354,0.48,5
covid,id,October 26 - November 29,202544-202548,0.484,0.55,5
covid,il,October 26 - November 29,202544-202548,0.394,0.58,5
covid,in,October 26 - November 29,202544-202548,0.532,0.74,5
covid,ks,October 26 - November 29,202544-202548,0.29000000000000004,0.33,5
covid,ky,October 26 - November 29,202544-202548,0.504,0.65,5
covid,la,October 26 - November 29,202544-202548,0.29200000000000004,0.35,5
covid,ma,October 26 - November 29,202544-202548,0.462,0.64,5
covid,md,October 26 - November 29,202544-202548,0.262,0.33,5
covid,me,October 26 - November 29,202544-202548,0.43199999999999994,0.59,5
covid,mi,October 26 - November 29,202544-202548,0.366,0.55,5
covid,mn,October 26 - November 29,202544-202548,0.378,0.52,5
covid,mo,October 26 - November 29,202544-202548,0.40199999999999997,0.46,5
covid,ms,October 26 - November 29,202544-202548,0.634,0.74,5
covid,mt,October 26 - November 29,202544-202548,0.562,0.61,5
covid,nc,October 26 - November 29,202544-202548,0.316,0.35,5
covid,nd,October 26 - November 29,202544-202548,0.21800000000000003,0.45,5
covid,ne,October 26 - November 29,202544-202548,0.196,0.25,5
covid,nh,October 26 - November 29,202544-202548,0.476,0.59,5
covid,nj,October 26 - November 29,202544-202548,0.346,0.4,5
covid,nm,October 26 - November 29,202544-202548,0.744,0.99,5
covid,nv,October 26 - November 29,202544-202548,0.28,0.31,5
covid,ny,October 26 - November 29,202544-202548,0.31800000000000006,0.38,5
covid,oh,October 26 - November 29,202544-202548,0.43599999999999994,0.57,5
covid,ok,October 26 - November 29,202544-202548,0.266,0.34,5
covid,or,October 26 - November 29,202544-202548,0.366,0.51,5
covid,pa,October 26 - November 29,202544-202548,0.386,0.53,5
covid,ri,October 26 - November 29,202544-202548,0.348,0.53,5
covid,sc,October 26 - November 29,202544-202548,0.29600000000000004,0.34,5
covid,sd,October 26 - November 29,202544-202548,0.506,0.61,5
covid,tn,October 26 - November 29,202544-202548,0.5399999999999999,0.59,5
covid,tx,October 26 - November 29,202544-202548,0.266,0.27,5
covid,ut,October 26 - November 29,202544-202548,0.298,0.32,5
covid,va,October 26 - November 29,202544-202548,0.34199999999999997,0.36,5
covid,vt,October 26 - November 29,202544-202548,0.618,0.78,5
covid,wa,October 26 - November 29,202544-202548,0.294,0.39,5
covid,wi,October 26 - November 29,202544-202548,0.318,0.41,5
covid,wv,October 26 - November 29,202544-202548,0.6220000000000001,0.87,5
covid,wy,October 26 - November 29,202544-202548,0.434,0.66,5
covid,ak,November 30 - December 27,202549-202552,0.345,0.45,4
covid,al,November 30 - December 27,202549-202552,0.44999999999999996,0.66,4
covid,ar,November 30 - December 27,202549-202552,0.8425,1.25,4
covid,az,November 30 - December 27,202549-202552,0.435,0.51,4
covid,ca,November 30 - December 27,202549-202552,0.15500000000000003,0.18,4
covid,co,November 30 - December 27,202549-202552,0.6425,0.75,4
covid,ct,November 30 - December 27,202549-202552,0.935,1.17,4
covid,dc,November 30 - December 27,202549-202552,0.205,0.26,4
covid,de,November 30 - December 27,202549-202552,0.5750000000000001,0.87,4
covid,fl,November 30 - December 27,202549-202552,0.2475,0.28,4
covid,ga,November 30 - December 27,202549-202552,0.3275,0.49,4
covid,hi,November 30 - December 27,202549-202552,0.12,0.13,4
covid,ia,November 30 - December 27,202549-202552,0.965,1.69,4
covid,id,November 30 - December 27,202549-202552,0.5825,0.68,4
covid,il,November 30 - December 27,202549-202552,1.1775000000000002,1.85,4
covid,in,November 30 - December 27,202549-202552,1.3324999999999998,1.93,4
covid,ks,November 30 - December 27,202549-202552,0.8175,1.25,4
covid,ky,November 30 - December 27,202549-202552,1.0550000000000002,1.56,4
covid,la,November 30 - December 27,202549-202552,0.335,0.43,4
covid,ma,November 30 - December 27,202549-202552,0.895,1.22,4
covid,md,November 30 - December 27,202549-202552,0.46499999999999997,0.62,4
covid,me,November 30 - December 27,202549-202552,1.0,1.68,4
covid,mi,November 30 - December 27,202549-202552,1.09,1.62,4
covid,mn,November 30 - December 27,202549-202552,0.88,1.23,4
covid,mo,November 30 - December 27,202549-202552,0.9675,1.58,4
